RH5,RH10,RH15,RH20,RH25,RH30,RH35,RH40,RH45,RH50,RH55,RH60,RH65,RH70,RH75,RH80,RH85,RH90,RH95,RH100,AGB
0,0.42,1.17,2.45,3.77,4.93,5.85,6.63,7.32,8.07,8.78,9.52,10.33,11.32,12.18,13.17,14.2,15.47,18.42,29.43,88.9279329
0.9,1.37,3.08,4.92,6.37,7.68,9.07,10.32,11.43,12.35,13.18,14.07,15.07,16.37,17.9,19.03,20.15,21.67,23.78,35.05,181.3079685
1.05,3,5.63,8.03,9.73,10.95,12.13,13.82,15.35,16.57,17.52,18.53,19.7,22.03,23.22,24.32,25.67,27.72,33.58,43.73,133.8470866
0,0.3,0.56,1.31,1.99,2.59,3,3.38,3.75,4.2,4.72,5.36,6.07,6.79,7.31,7.84,8.29,8.85,9.53,15.26,267.5710846
0,0.15,0.34,0.98,1.65,2.33,2.89,3.38,3.83,4.24,4.69,5.14,5.7,6.38,7.28,8.29,9.34,10.57,12.19,19.69,116.287691
0,1.46,3.15,5.03,7.35,8.66,9.45,10.09,10.65,11.14,11.7,12.19,12.68,13.24,13.8,14.36,15.04,15.82,16.84,23.29,134.6521293
0.98,5.85,7.8,7.35,8.47,9.45,10.43,11.55,13.01,14.74,15.98,17.1,17.96,18.75,19.46,20.18,21,21.9,23.21,30.11,176.8516477
0,0,0,0,0.15,0.5,1.1,1.54,2.78,4.01,4.84,5.62,6.38,7.24,7.99,8.81,9.86,10.95,12.41,19.01,134.6938409
0,0,0,0.26,0.6,1.12,5.1,10.09,11.62,12.53,13.24,13.84,14.44,14.89,15.38,15.86,16.42,17.06,17.92,23.96,186.2434904
0,0,0,0.3,0.82,1.65,4.69,7.5,9.6,11.32,12.6,13.46,14.29,15.04,15.71,16.31,16.91,17.66,18.56,24.52,218.3130186
0,0,0,0,0,0,0,0.3,0.52,0.79,1.05,1.35,1.65,1.91,2.21,2.51,2.89,3.34,4.09,12.15,20.92567841
0,0,0.3,1.05,0.98,1.43,1.91,2.44,2.89,3.41,3.9,4.35,4.76,5.18,5.59,5.96,6.45,7.05,7.88,13.8,30.58206412
0.75,1.1,2.2,3.2,2.92,3.49,3.94,4.39,4.76,5.14,5.59,5.96,6.34,6.68,7.05,7.43,7.84,8.25,8.89,13.46,95.2790823
0,0,0,0,0,0.07,0.3,0.52,0.82,1.16,1.57,1.99,2.4,2.81,3.15,3.45,3.83,4.24,4.84,9.38,36.8000561
0,0,0,0,0,0,0,0.07,0.34,0.49,0.79,1.01,1.27,1.57,1.84,2.14,2.44,2.85,3.64,11.21,18.55569376
1.83,3.75,6.18,8.02,9.5,11.02,12.47,13.92,15.1,16.07,16.98,18.05,19.05,20.37,22.13,23.85,25.75,27.33,29.73,38.83,180.6338411
0.51,2.76,4.58,6.1,7.27,8.25,9.25,10.32,11.45,12.58,13.57,14.6,15.8,17.6,19.53,21.12,22.83,24.88,27.62,38.68,110.5500909
0.5,2.38,3.71,5.44,7.07,8.59,9.73,9.75,10.78,11.87,13.05,14.25,15.42,16.27,17.25,18.58,21.1,23.78,26.48,35.33,157.1553546
0.6,2.18,3.83,5.68,7.3,9.32,11.27,13.1,14.57,16.03,17.45,19.82,22.32,23.63,24.93,26.25,27.92,30.85,33.58,42.98,146.6103555
0,0.68,1.03,2.05,2.95,3.73,4.45,5.23,6.42,7.37,8.27,9.05,9.83,11.58,13.13,15.33,17.2,18.88,21.38,33.52,54.2497222
0.67,3.2,5.65,7.26,8.51,9.63,10.61,11.49,12.33,13.1,13.87,14.57,15.25,15.88,16.53,17.2,17.92,18.74,19.86,26.26,129.7577562
1.34,3.82,5.36,6.66,7.81,8.89,9.88,10.75,11.55,12.3,13.01,13.67,14.31,14.93,15.54,16.17,16.83,17.62,18.62,24.54,154.9364309
1.09,2.94,5.01,6.65,7.64,8.39,9.14,9.79,10.57,11.29,11.98,12.65,13.28,13.93,14.56,15.22,15.98,16.82,17.86,23.77,155.7868813
1.14,3.51,5.7,7.4,8.62,9.75,10.74,11.69,12.55,13.35,14.08,14.76,15.44,16.08,16.78,17.47,18.2,19,20.12,26.41,185.1597862
1.64,5.04,7.2,8.82,10.11,11.12,12,12.76,13.47,14.12,14.73,15.3,15.87,16.42,16.96,17.54,18.18,18.93,19.98,25.99,147.4880494
